  m             v             log10(rho)    log10(temp)   he4           c12           o16           ne20         mg24          si28          s32           ar36         ca40          ti44          cr48          fe52         fe54          ni56          ni57          ni58          ni59          ni60          ni61          ni62
  Msol          cm/s          g/cm^3        K
  2.28766e-06   1.38190e+07   2.90840e+00   7.75570e+00   1.13845e-02   3.79775e-06   1.10845e-08   2.15218e-08  3.25753e-08   3.86106e-07   1.86732e-06   2.60058e-06  2.81063e-05   1.33650e-05   2.47365e-05   4.67134e-05  4.78027e-09   9.09373e-01   2.19269e-02   2.53981e-02   1.07272e-03   2.49509e-02   7.74411e-04   4.99767e-03
  6.11935e-05   3.35080e+07   2.87910e+00   7.73330e+00   1.15556e-02   3.92887e-06   1.15206e-08   2.23590e-08  3.41086e-08   4.03079e-07   1.85221e-06   2.52946e-06  2.89294e-05   1.35660e-05   2.56537e-05   4.83337e-05  4.79676e-09   9.09662e-01   2.18578e-02   2.51120e-02   1.04844e-03   2.48207e-02   7.84077e-04   5.03438e-03
  2.79137e-04   5.73450e+07   2.87890e+00   7.74330e+00   1.12985e-02   3.81275e-06   1.11395e-08   2.15788e-08  3.28103e-08   3.88226e-07   1.77869e-06   2.43414e-06  2.79002e-05   1.29069e-05   2.51136e-05   4.70224e-05  4.69164e-09   9.10302e-01   2.17428e-02   2.49830e-02   1.04029e-03   2.47061e-02   7.85706e-04   5.02018e-03
  7.74636e-04   7.97970e+07   2.88190e+00   7.75000e+00   1.10255e-02   3.77506e-06   1.10015e-08   2.13188e-08  3.24143e-08   3.82367e-07   1.75530e-06   2.42335e-06  2.69451e-05   1.24378e-05   2.46456e-05   4.61345e-05  4.64415e-09   9.10516e-01   2.16809e-02   2.48731e-02   1.04516e-03   2.49090e-02   7.89290e-04   5.04202e-03
  1.62369e-03   1.02740e+08   2.87940e+00   7.74700e+00   1.00519e-02   2.92966e-06   8.40080e-09   1.61311e-08  2.44016e-08   2.88255e-07   1.35926e-06   1.89446e-06  2.10720e-05   9.62713e-06   1.91586e-05   3.58838e-05  4.05347e-09   9.14004e-01   2.15591e-02   2.51302e-02   1.00453e-03   2.28343e-02   7.19023e-04   4.60489e-03
  2.98881e-03   1.25400e+08   2.89690e+00   7.72540e+00   9.82054e-03   3.13358e-06   8.97456e-09   1.73038e-08  2.62207e-08   3.09958e-07   1.44171e-06   1.99243e-06  2.24189e-05   1.03423e-05   2.04685e-05   3.86654e-05  4.06959e-09   9.12979e-01   2.13867e-02   2.46398e-02   1.02673e-03   2.43975e-02   7.65327e-04   4.88527e-03
  4.84188e-03   1.46710e+08   2.89760e+00   7.72170e+00   9.69870e-03   3.02035e-06   8.65137e-09   1.66546e-08  2.52635e-08   2.99375e-07   1.39740e-06   1.92112e-06  2.16267e-05   9.98086e-06   1.96052e-05   3.70000e-05  3.96196e-09   9.13778e-01   2.13326e-02   2.44467e-02   1.01740e-03   2.41226e-02   7.49385e-04   4.76012e-03
  7.37369e-03   1.69010e+08   2.89220e+00   7.71570e+00   9.93927e-03   3.16806e-06   9.10930e-09   1.75627e-08  2.66135e-08   3.15996e-07   1.46781e-06   2.02292e-06  2.26227e-05   1.03982e-05   2.04683e-05   3.82170e-05  4.04474e-09   9.13650e-01   2.13605e-02   2.41395e-02   1.01565e-03   2.43104e-02   7.57015e-04   4.72847e-03
  1.05440e-02   1.90820e+08   2.89430e+00   7.70730e+00   8.59958e-03   2.32653e-06   6.57261e-09   1.25103e-08  1.88725e-08   2.24091e-07   1.07170e-06   1.49328e-06  1.66181e-05   7.55019e-06   1.50248e-05   2.84502e-05  3.46174e-09   9.17519e-01   2.11639e-02   2.41449e-02   9.76194e-04   2.24949e-02   6.93587e-04   4.33505e-03
